HGNC:10020	RIPK2	cck
HGNC:10044	RNASE1	rac1
HGNC:10046	RNASE3	raf1
HGNC:10047	RNASE4	rab1
HGNC:10061	RNF2	bap1
HGNC:10061	RNF2	bap-1
HGNC:10068	RNF5	ng2
HGNC:10070	RNF7	sag
HGNC:10258	RORA	ror1
HGNC:10258	RORA	ror2
HGNC:10294	RPE65	p63
HGNC:10298	RPL10	nov
HGNC:10306	RPL15	rpl10
HGNC:10307	RPL17	pd-1
HGNC:10307	RPL17	rpl23
HGNC:10322	MRPL23	rpl23
HGNC:10359	RPL36A	mig6
HGNC:1036	BEX1	bex2
HGNC:10417	RPS27A	ubc
HGNC:1043	BGLAP	bgp
HGNC:1046	BHLHE40	dec1
HGNC:10498	S100A8	mif
HGNC:10499	S100A9	mif
HGNC:10499	S100A9	p14
HGNC:10513	SAA1	saa2
HGNC:10585	SCN1A	nac1
HGNC:1058	BLM	recql2
HGNC:10594	SCN7A	nag
HGNC:10611	CCL13	scyl1
HGNC:10616	CCL18	parc
HGNC:10659	SDC2	hspg
HGNC:1067	BMP1	pcp
HGNC:10769	SF3B2	sf3b1
HGNC:10787	SRSF5	hrs
HGNC:10798	SFTPA1	psap
HGNC:10799	SFTPA2	psap
HGNC:10806	SGCB	a3b
HGNC:10820	SH2D1A	mtcp1
HGNC:10821	SH2D2A	scap
HGNC:10826	SH3BP4	ttp
HGNC:10845	SEM1	ecd
HGNC:10876	SIGLEC7	p75
HGNC:10880	PMEL	p100
HGNC:10880	PMEL	sil
HGNC:10897	SKIL	sno
HGNC:10907	SLC11A1	lsh
HGNC:10925	SLC16A4	mct4
HGNC:10937	SLC19A1	rfc
HGNC:10946	SLC20A1	pit-1
HGNC:10969	SLC22A5	scd
HGNC:1096	BPNT1	pip
HGNC:10978	SLC24A4	slc24a2
HGNC:11048	SLC6A2	nat1
HGNC:11048	SLC6A2	net1
HGNC:11050	SLC6A4	htt
HGNC:11051	SLC6A5	net1
HGNC:11063	SLC7A5	cd98
HGNC:11085	SLIT1	slit3
HGNC:11087	SLIT3	slit2
HGNC:1108	ZFP36L2	brf2
HGNC:11092	SLPI	alk1
HGNC:11092	SLPI	mpi
HGNC:11138	SNCA	pd1
HGNC:11164	SNRPN	smn
HGNC:11177	SOAT1	acat1
HGNC:11187	SOS1	hgf
HGNC:11204	SOX9	sra1
HGNC:11217	SPAM1	hyal1
HGNC:11217	SPAM1	hyal3
HGNC:11220	SPARCL1	sc1
HGNC:11231	ATL1	fsp1
HGNC:11283	SRC	src1
HGNC:11298	SRMS	srm
HGNC:11328	SSSCA1	p27
HGNC:11343	ST13	hop
HGNC:11344	ST14	hai
HGNC:11387	STIP1	hop
HGNC:11390	AURKB	aim1
HGNC:11398	STK19	rp1
HGNC:11399	NEK4	nrk2
HGNC:11403	STK24	stk3
HGNC:11408	STK4	mst1
HGNC:11497	SYNGAP1	rasa1
HGNC:11509	SYT1	p65
HGNC:11509	SYT1	syt
HGNC:11526	TACR1	spr
HGNC:11562	TANK	traf2
HGNC:11589	TBPL1	trf2
HGNC:11616	TCEAL1	p21
HGNC:11621	HNF1A	hnf4a
HGNC:11623	TCF12	p64
HGNC:11633	TCF3	p75
HGNC:11640	TCF7L1	tcf3
HGNC:11641	TCF7L2	tcf4
HGNC:11641	TCF7L2	tcf-4
HGNC:11644	VPS72	cfl1
HGNC:11652	TCN1	tc-1
HGNC:1166	RASSF7	hras1
HGNC:11761	TFPI2	pp5
HGNC:11795	THPO	tpo
HGNC:11820	TIMP1	epo
HGNC:11825	NKX2-1	ttf1
HGNC:11825	NKX2-1	ttf-1
HGNC:1189	AHSA1	p38
HGNC:11910	TNFRSF25	tr3
HGNC:11917	TNFRSF1B	p75
HGNC:11919	CD40	p50
HGNC:11929	TNFSF13B	dtl
HGNC:11943	TNNC1	tnc
HGNC:11943	TNNC1	tn-c
HGNC:11957	MED12	opa1
HGNC:11999	TP53BP1	tp53
HGNC:12009	TPI1	tim
HGNC:12012	TPM3	trk
HGNC:12022	TPT1	p23
HGNC:12024	CRISP2	tsp1
HGNC:12033	TRAF3	cap1
HGNC:12478	UBE2E2	ubch8
HGNC:12485	UBE2I	p18
HGNC:1249	TPX2	p100
HGNC:12502	SUMO1	senp2
HGNC:12505	UBL4A	g6pd
HGNC:12515	UCHL3	ubiquitin thiolesterase
HGNC:12524	UGCG	gcs
HGNC:12587	UQCRFS1	rip1
HGNC:125	ACPP	pap
HGNC:12620	USP21	usp16
HGNC:12624	USP25	usp21
HGNC:12635	UTRN	drp1
HGNC:12640	UVRAG	p63
HGNC:1273	GATD3A	hes1
HGNC:12790	WRB	chd5
HGNC:12962	TRIM26	afp
HGNC:12966	ZNF177	pigx
HGNC:12988	ZNF197	p18
HGNC:13209	ARHGEF5	tim
HGNC:13222	BCL11B	rit1
HGNC:13243	LMBR1	lss
HGNC:13312	GSTO1	p28
HGNC:1338	C5AR1	c5a
HGNC:13395	NAPSA	napa
HGNC:1340	SMIM29	lbh
HGNC:13448	SLC38A2	sat2
HGNC:13567	GOLGA6A	glp
HGNC:13568	PGPEP1	pcp
HGNC:13568	PGPEP1	pgp
HGNC:13574	MAGEC2	magee1
HGNC:13584	FBXO5	fbxo31
HGNC:13590	FBXO11	prmt9
HGNC:1366	ADAMTS13	ttp
HGNC:13724	ATP6V0D1	p39
HGNC:13727	RANBP9	ranbp7
HGNC:13749	FAM3A	dld
HGNC:13759	CYFIP1	sra1
HGNC:13861	LZTS1	fez1
HGNC:13949	FKBPL	fkbp4
HGNC:14005	PEG10	hb-1
HGNC:14065	HDAC9	hdac7
HGNC:14099	CNOT6	ccr4
HGNC:14107	PMEPA1	stag1
HGNC:14124	NPRL3	npr3
HGNC:14130	ARHGAP9	rgl1
HGNC:14248	MED15	tig1
HGNC:14251	BRI3BP	hccr-1
HGNC:1426	CADPS	caps
HGNC:14271	RASSF3	rassf5
HGNC:14296	MT1M	mt1
HGNC:14324	C1QTNF1	gip
HGNC:14334	MRTFA	mal
HGNC:14353	DNALI1	p28
HGNC:14369	ENDOU	p11
HGNC:14372	SCYL1	p105
HGNC:14373	GLMN	fap
HGNC:14411	SLC25A21	odc
HGNC:14411	SLC25A21	odc1
HGNC:14484	MRPL28	p15
HGNC:14490	MRPL36	brip1
HGNC:14492	MRPL41	pig3
HGNC:14530	SP6	klf14
HGNC:14534	SPAG11B	ep2
HGNC:14540	WNK1	p65
HGNC:14546	PCDHB16	me1
HGNC:14554	CLEC4D	mcl
HGNC:14587	ING3	ing2
HGNC:14603	DMTF1	dmp1
HGNC:14634	PDAP1	pap
HGNC:14673	FYCO1	rufy3
HGNC:14677	DEAF1	spn
HGNC:14681	SPATA2	pd1
HGNC:1474	CAPG	mcp
HGNC:1482	CAPN5	htra3
HGNC:1487	CAPS	caps1
HGNC:14900	IL22	il-21
HGNC:14900	IL22	tifa
HGNC:14947	PPP1R12C	p85
HGNC:14950	PPP1R13B	p85
HGNC:14959	RBM15	spen
HGNC:14966	PXDN	pxn
HGNC:14981	PAPOLA	pap
HGNC:1535	RUNX1T1	cdr
HGNC:1536	CBFA2T2	p85
HGNC:15476	DYNLL1	dlc1
