demethylation	demethylation	demethylated|demethylation|hypomethylation|decreased methylation
expression	expression	expression|mrna expression|rna expression|rna levels
frameshift	frameshift	frameshift|frame shift|frame-shift|frame shift mutation|frame-shift mutation|frameshift mutation|frame shift mutations|frame-shift mutations|frameshift mutations|frameshifts|frame shifts|frame-shifts
fusion	fusion	fusion|fusions
gain of function	gain of function	gain of function|gain-of-function|gains of function|gof|activating mutation|activating mutations|activating point mutation|activating point mutations
amplification	amplification	-amplified|- amplified|gene amplification|gene amplified|gene-amplified|amplification|amplifications|amplified|copy gain|copy gains|copy increase|copy increases|copy number increase|copy number increased|extra copy|gain|gained|cn gain
deletion	deletion	-deleted|- deleted|gene deleted|gene-deleted|gene deletion|deletion|deletions|copy loss|copy lost|copy number decrease|copy number decreased|copy losses|copy decrease|deleted|homozygous deletion|homozygously deleted|heterozygous loss|heterozygous deletion|heterozygously deleted|cn loss
germline amplification	germline amplification	germline amplification|germ-line amplification
germline deletion	germline deletion	germline deletion|germ-line deletion
germline loh	germline loh	germline loh|germline loss of heterozygosity|germline loss-of-heterozygosity|germ-line loh|germ-line loss of heterozygosity|germ-line loss-of-heterozygosity
germline snv	germline snv	germline snv|germ-line snv
germline mutation	germline mutation	germline variant|germline mutation|germline mutations|germline variants|germ-line variant|germ-line mutation|germ-line mutations|germ-line variants
inactivation	inactivation	inactivation|mutation inactivation
indel	indel	indel|indels
insertion	insertion	insertion|insertions
loss	loss	loss
knockdown	knockdown	knockdown
loss of function	loss of function	loss of function|loss-of-function|lof|deactivating mutation|deactivating mutations|deactivating point mutation|deactivating point mutations
loss of heterozygosity	loss of heterozygosity	loss of heterozygosity|loss-of-heterozygosity|loh
methylation	methylation	methylated|methylation|hypermethylation|increased methylation
mutation	mutation	missense|missense mutation|missense mutations|mutant|mutated|mutation|mutations|nonsense mutation|nonsense mutations|nonsynonymous coding mutation|nonsynonymous coding mutations|nonsynonymous substitution|nonsynonymous substitutions|nucleotide mutation|nucleotide mutations|nucleotide substitution|nucleotide substitutions|point mutated|point mutation|protein coding mutation|single nucleotide variant|snv|variant|variants|coding mutation|coding mutations|hotspot mutation|hotspot mutations|somatic mutation|somatic mutations|somatic coding mutation|somatic coding mutations|protein coding mutation|protein coding mutations|gene mutation|gene mutations|gene mutated|alteration|alterations|acquired mutation|acquired mutations
mutational activation	mutational activation	mutational activation
phosphorylation	phosphorylation	phosphorylated|phosphorylation
promoter demethylation	promoter demethylation	promoter demethylation|demethylation of the promoter|demethylation of promoter|promoter hypomethylation|hypomethylation of the promoter|hypomethylation of promoter
promoter methylation	promoter methylation	promoter methylation|methylation of the promoter|methylation of promoter|promoter hypermethylation|hypermethylation of the promoter|hypermethylation of promoter
promoter mutation	promoter mutation	promoter mutation|promoter mutations|promoter variant|promoter variants
protein expression	protein expression	protein expression|protein levels|immunohistochemical expression
protein overexpression	protein overexpression	protein overexpression|protein over-expression
protein underexpression	protein underexpression	protein underexpression|protein under-expression
overexpression	overexpression	rna overexpression|rna over-expression|transcriptional upregulation|transcriptional up-regulation|upregulation|increased expression|high expression|overexpress|over-express|overexpressed|over-expressed|overexpression|over-expression|high|up-regulation|prominently expressed|upregulated|up-regulated|upregulated expression|up-regulated expression|higher expression
underexpression	underexpression	rna underexpression|rna under-expression|silenced|transcriptional downregulation|transcriptional down-regulation|underexpress|under-express|underexpressed|under-expressed|underexpression|under-expression|downregulation|loss of expression|decreased expression|low|low expression|down-regulation|downregulated|down-regulated|downregulated expression|down-regulated expression|no expression|zero expression|lower expression
single nucleotide polymorphism	single nucleotide polymorphism	single nucleotide polymorphism|snp
splice variant	splice variant	splice variant|splice variants
structural variant	structural variant	structural variant|structural variants|rearrangement|rearrangements|large scale rearrangement|large-scale rearrangement|largescale rearrangement|large scale rearrangements|large-scale rearrangements|largescale rearrangements
synonymous mutation	synonymous mutation	synonymous mutation|synonymous mutations|synonymous coding mutation|synonymous coding mutations|synonymous substitution|synonymous substitutions
switch of function	switch of function	switch of function
translocation	translocation	translocation|translocations
truncation	truncation	truncated|truncated form|truncating mutation|truncation|truncations
wildtype	wildtype	wildtype|wild-type
